iter	Passed	Remaining
150	2215	12454
151	2226	12421
152	2241	12406
153	2256	12396
154	2270	12380
155	2286	12370
156	2417	12980
157	2442	13016
158	2493	13189
159	2529	13277
160	2581	13453
161	2604	13474
162	2635	13534
163	2673	13630
164	2757	13955
165	2782	13979
166	2832	14128
167	2890	14315
168	2922	14369
169	2952	14415
170	2994	14515
171	3010	14490
172	3032	14497
173	3053	14496
174	3077	14509
175	3089	14464
176	3103	14429
177	3118	14399
178	3136	14384
179	3152	14361
180	3161	14306
181	3173	14262
182	3185	14220
183	3197	14178
184	3209	14139
185	3221	14099
186	3233	14059
187	3246	14022
188	3258	13982
189	3271	13945
190	3285	13916
191	3296	13871
192	3307	13828
193	3316	13778
194	3329	13744
195	3339	13700
196	3354	13671
197	3364	13627
198	3378	13599
199	3387	13550
200	3400	13516
201	3413	13486
202	3442	13514
203	3479	13576
204	3523	13664
205	3546	13670
206	3575	13697
207	3592	13680
208	3606	13648
209	3617	13607
210	3630	13576
211	3645	13550
212	3665	13543
213	3676	13502
214	3695	13493
215	3705	13450
216	3715	13407
217	3726	13368
218	3736	13325
219	3746	13283
220	3757	13246
221	3773	13223
222	3790	13206
223	3807	13190
224	3819	13155
225	3829	13114
226	3838	13071
227	3848	13031
228	3859	12994
229	3871	12961
230	3882	12924
231	3892	12886
232	3908	12865
233	3922	12838
234	3936	12814
235	3949	12787
236	3962	12755
237	3971	12716
238	3981	12677
239	3992	12643
240	4003	12609
241	4014	12573
242	4025	12540
243	4035	12504
244	4047	12471
245	4057	12434
246	4065	12395
247	4077	12363
248	4088	12329
249	4099	12299
250	4110	12264
251	4121	12234
252	4135	12210
253	4148	12184
254	4161	12158
255	4172	12127
256	4183	12096
257	4195	12066
258	4210	12045
259	4222	12017
260	4233	11986
261	4243	11954
262	4254	11921
263	4264	11887
264	4274	11856
265	4285	11825
266	4295	11793
267	4308	11769
268	4325	11753
269	4341	11737
270	4356	11720
271	4370	11696
272	4382	11671
273	4393	11640
274	4406	11617
275	4418	11590
276	4431	11566
277	4444	11542
278	4455	11513
279	4467	11487
280	4477	11456
281	4488	11429
282	4498	11398
283	4508	11367
284	4520	11340
285	4530	11309
286	4539	11278
287	4548	11245
288	4557	11211
289	4566	11180
290	4575	11149
291	4584	11117
292	4595	11087
293	4605	11059
294	4614	11028
295	4623	10997
296	4632	10964
297	4642	10935
298	4653	10909
299	4661	10877
300	4669	10844
301	4680	10816
302	4690	10790
303	4702	10765
304	4712	10737
305	4720	10706
306	4731	10680
307	4739	10647
308	4750	10622
309	4759	10594
310	4768	10564
311	4780	10540
312	4794	10523
313	4803	10494
314	4812	10464
315	4820	10433
316	4828	10404
317	4836	10373
318	4844	10342
319	4853	10313
320	4862	10285
321	4874	10264
322	4883	10235
323	4892	10208
324	4901	10179
325	4910	10152
326	4919	10124
327	4928	10096
328	4936	10068
329	4944	10039
330	4953	10012
331	4961	9983
332	4969	9953
333	4976	9924
334	4984	9894
335	4991	9864
336	4999	9835
337	5007	9807
338	5014	9777
339	5022	9749
340	5032	9725
341	5043	9703
342	5053	9680
343	5062	9653
344	5070	9627
345	5077	9598
346	5085	9570
347	5092	9541
348	5100	9514
349	5107	9485
350	5115	9457
351	5124	9433
352	5132	9406
353	5139	9378
354	5146	9350
355	5153	9323
356	5161	9295
357	5168	9268
358	5175	9241
359	5183	9214
360	5190	9187
361	5197	9160
362	5205	9133
363	5212	9107
364	5219	9080
365	5227	9055
366	5235	9030
367	5242	9003
368	5249	8977
369	5257	8951
370	5265	8926
371	5272	8900
372	5280	8876
373	5287	8849
374	5294	8823
375	5301	8798
376	5308	8772
377	5316	8748
378	5327	8728
379	5336	8706
380	5343	8681
381	5350	8655
382	5357	8630
383	5364	8606
384	5371	8581
385	5379	8557
386	5386	8532
387	5394	8508
388	5401	8484
389	5409	8460
390	5416	8436
391	5423	8412
392	5431	8388
393	5437	8363
394	5445	8340
395	5453	8318
396	5460	8294
397	5467	8270
398	5475	8247
399	5482	8224
400	5490	8201
401	5497	8177
402	5505	8155
403	5512	8132
404	5519	8108
405	5526	8086
406	5534	8063
407	5541	8040
408	5548	8018
409	5556	7996
410	5566	7977
411	5576	7958
412	5583	7935
413	5591	7914
414	5598	7892
415	5606	7870
416	5613	7848
417	5621	7827
418	5628	7805
419	5636	7783
420	5643	7761
421	5650	7739
422	5659	7719
423	5666	7697
424	5673	7676
425	5681	7654
426	5689	7634
427	5696	7612
428	5704	7592
429	5711	7571
430	5719	7550
431	5726	7528
432	5733	7508
433	5740	7486
434	5748	7465
435	5755	7445
436	5764	7426
437	5773	7407
438	5779	7386
439	5787	7366
440	5794	7345
441	5802	7325
442	5809	7304
443	5817	7284
444	5824	7264
445	5831	7244
446	5838	7223
447	5846	7203
448	5855	7185
449	5864	7167
450	5872	7148
451	5879	7128
452	5886	7108
453	5894	7088
454	5901	7068
455	5908	7048
456	5916	7029
457	5923	7009
458	5930	6990
459	5938	6970
460	5946	6952
461	5953	6932
462	5960	6912
463	5967	6893
464	5976	6876
465	5984	6857
466	5991	6837
467	5999	6819
468	6006	6800
469	6013	6781
470	6020	6762
471	6028	6743
472	6035	6724
473	6042	6705
474	6049	6686
475	6056	6667
476	6063	6648
477	6071	6629
478	6082	6616
479	6092	6599
480	6099	6581
481	6107	6563
482	6114	6545
483	6122	6526
484	6129	6508
485	6136	6489
486	6143	6471
487	6151	6454
488	6159	6436
489	6166	6418
490	6173	6400
491	6181	6382
492	6188	6364
493	6196	6346
494	6202	6328
495	6210	6310
496	6217	6292
497	6224	6274
498	6231	6256
499	6239	6239
500	6246	6221
501	6254	6204
502	6261	6186
503	6268	6169
504	6275	6151
505	6283	6134
506	6290	6117
507	6298	6099
508	6306	6083
509	6315	6067
510	6326	6053
511	6336	6039
512	6346	6025
513	6355	6008
514	6362	5991
515	6370	5975
516	6377	5957
517	6385	5941
518	6392	5924
519	6399	5907
520	6407	5891
521	6415	5874
522	6422	5857
523	6429	5840
524	6437	5824
525	6444	5807
526	6452	5791
527	6459	5774
528	6467	5758
529	6475	5742
530	6482	5725
531	6489	5709
532	6497	5693
533	6505	5677
534	6512	5660
535	6520	5644
536	6527	5627
537	6534	5611
538	6541	5595
539	6549	5578
540	6556	5563
541	6564	5546
542	6571	5530
543	6579	5514
544	6586	5498
545	6593	5482
546	6601	5466
547	6608	5450
548	6615	5434
549	6623	5418
550	6630	5403
551	6637	5387
552	6645	5371
553	6652	5355
554	6660	5340
555	6667	5324
556	6682	5314
557	6691	5300
558	6698	5284
559	6705	5268
560	6713	5253
561	6720	5237
562	6728	5222
563	6735	5206
564	6745	5193
565	6752	5177
566	6760	5162
567	6767	5147
568	6775	5132
569	6782	5116
570	6789	5101
571	6797	5086
572	6804	5070
573	6811	5055
574	6819	5040
575	6826	5025
576	6833	5009
577	6841	4994
578	6850	4980
579	6861	4968
580	6869	4953
581	6877	4939
582	6884	4923
583	6892	4909
584	6899	4894
585	6907	4879
586	6914	4864
587	6921	4849
588	6928	4834
589	6936	4820
590	6943	4805
591	6952	4791
592	6959	4776
593	6967	4762
594	6974	4747
595	6981	4732
596	6989	4718
597	6996	4703
598	7003	4688
599	7010	4673
600	7018	4659
601	7026	4645
602	7033	4630
603	7040	4616
604	7047	4601
605	7055	4587
606	7062	4572
607	7069	4558
608	7076	4543
609	7084	4529
610	7091	4515
611	7099	4500
612	7106	4486
613	7113	4472
614	7120	4457
615	7128	4443
616	7136	4429
617	7143	4415
618	7151	4401
619	7158	4387
620	7165	4373
621	7173	4359
622	7180	4345
623	7188	4331
624	7195	4317
625	7202	4303
626	7211	4290
627	7221	4277
628	7229	4263
629	7236	4249
630	7243	4235
631	7250	4221
632	7257	4207
633	7265	4194
634	7272	4180
635	7280	4166
636	7287	4152
637	7295	4139
638	7302	4125
639	7310	4111
640	7317	4098
641	7326	4085
642	7333	4071
643	7340	4057
644	7348	4044
645	7356	4031
646	7364	4018
647	7374	4005
648	7383	3993
649	7390	3979
650	7397	3965
651	7404	3952
652	7413	3939
653	7420	3925
654	7428	3912
655	7435	3899
656	7443	3885
657	7449	3872
658	7457	3858
659	7464	3845
660	7472	3832
661	7479	3818
662	7486	3805
663	7494	3792
664	7501	3778
665	7508	3765
666	7516	3752
667	7523	3739
668	7531	3726
669	7539	3713
670	7546	3700
671	7554	3687
672	7561	3674
673	7568	3660
674	7575	3647
675	7583	3634
676	7591	3621
677	7598	3608
678	7605	3595
679	7613	3582
680	7620	3569
681	7628	3556
682	7636	3544
683	7643	3531
684	7651	3518
685	7658	3505
686	7665	3492
687	7672	3479
688	7680	3466
689	7688	3454
690	7698	3442
691	7705	3429
692	7715	3418
693	7723	3405
694	7730	3392
695	7738	3380
696	7746	3367
697	7753	3354
698	7762	3342
699	7769	3329
700	7777	3317
701	7785	3304
702	7792	3292
703	7799	3279
704	7806	3266
705	7814	3254
706	7821	3241
707	7829	3229
708	7836	3216
709	7843	3203
710	7850	3191
711	7857	3178
712	7865	3166
713	7872	3153
714	7882	3141
715	7891	3129
716	7901	3118
717	7907	3105
718	7915	3093
719	7924	3081
720	7932	3069
721	7940	3057
722	7947	3044
723	7954	3032
724	7962	3020
725	7970	3008
726	7978	2995
727	7985	2983
728	7993	2971
729	8000	2959
730	8007	2946
731	8015	2934
732	8023	2922
733	8030	2910
734	8038	2898
735	8045	2885
736	8052	2873
737	8060	2861
738	8067	2849
739	8076	2837
740	8083	2825
741	8091	2813
742	8098	2801
743	8106	2789
744	8113	2777
745	8121	2765
746	8128	2752
747	8135	2740
748	8142	2728
749	8150	2716
750	8157	2704
751	8164	2692
752	8173	2681
753	8181	2669
754	8188	2657
755	8195	2645
756	8203	2633
757	8210	2621
758	8218	2609
759	8225	2597
760	8234	2586
761	8241	2574
762	8249	2562
763	8257	2550
764	8264	2538
765	8271	2526
766	8279	2515
767	8286	2503
768	8294	2491
769	8301	2479
770	8309	2467
771	8316	2456
772	8323	2444
773	8331	2432
774	8338	2420
775	8345	2409
776	8355	2397
777	8365	2387
778	8375	2376
779	8386	2365
780	8393	2353
781	8401	2342
782	8409	2330
783	8417	2318
784	8424	2307
785	8431	2295
786	8439	2284
787	8446	2272
788	8454	2260
789	8461	2249
790	8469	2237
791	8476	2226
792	8483	2214
793	8490	2202
794	8498	2191
795	8505	2179
796	8513	2168
797	8520	2156
798	8529	2145
799	8544	2136
800	8553	2125
801	8563	2114
802	8570	2102
803	8578	2091
804	8585	2079
805	8593	2068
806	8600	2056
807	8608	2045
808	8615	2034
809	8623	2022
810	8630	2011
811	8637	1999
812	8645	1988
813	8655	1977
814	8664	1966
815	8672	1955
816	8680	1944
817	8687	1932
818	8695	1921
819	8703	1910
820	8711	1899
821	8719	1888
822	8726	1876
823	8733	1865
824	8741	1854
825	8748	1842
826	8755	1831
827	8762	1820
828	8770	1809
829	8777	1797
830	8784	1786
831	8792	1775
832	8799	1764
833	8807	1753
834	8814	1741
835	8822	1730
836	8829	1719
837	8836	1708
838	8843	1697
839	8851	1685
840	8858	1674
841	8866	1663
842	8873	1652
843	8880	1641
844	8890	1630
845	8899	1619
846	8908	1609
847	8916	1598
848	8924	1587
849	8933	1576
850	8940	1565
851	8947	1554
852	8954	1543
853	8966	1532
854	8976	1522
855	8986	1511
856	8996	1501
857	9003	1490
858	9011	1479
859	9018	1468
860	9025	1457
861	9032	1446
862	9039	1435
863	9047	1424
864	9055	1413
865	9063	1402
866	9070	1391
867	9078	1380
868	9085	1369
869	9093	1358
870	9100	1347
871	9107	1336
872	9115	1326
873	9122	1315
874	9129	1304
875	9136	1293
876	9144	1282
877	9151	1271
878	9159	1260
879	9166	1249
880	9173	1239
881	9180	1228
882	9187	1217
883	9195	1206
884	9202	1195
885	9209	1184
886	9216	1174
887	9224	1163
888	9232	1152
889	9239	1141
890	9246	1131
891	9256	1120
892	9265	1110
893	9273	1099
894	9280	1088
895	9288	1078
896	9295	1067
897	9306	1057
898	9316	1046
899	9327	1036
900	9335	1025
901	9342	1015
902	9349	1004
903	9357	993
904	9364	983
905	9372	972
906	9379	961
907	9387	951
908	9394	940
909	9401	929
910	9408	919
911	9416	908
912	9423	898
913	9431	887
914	9438	876
915	9445	866
916	9453	855
917	9460	845
918	9468	834
919	9475	823
920	9483	813
921	9490	802
922	9498	792
923	9506	781
924	9514	771
925	9521	760
926	9529	750
927	9536	739
928	9543	729
929	9551	718
930	9558	708
931	9565	697
932	9572	687
933	9581	677
934	9589	666
935	9598	656
936	9607	645
937	9614	635
938	9621	625
939	9629	614
940	9636	604
941	9643	593
942	9650	583
943	9661	573
944	9668	562
945	9675	552
946	9682	541
947	9690	531
948	9698	521
949	9705	510
950	9713	500
951	9720	490
952	9727	479
953	9734	469
954	9741	459
955	9748	448
956	9756	438
957	9763	428
958	9770	417
959	9778	407
960	9785	397
961	9792	386
962	9799	376
963	9807	366
964	9814	355
965	9821	345
966	9831	335
967	9841	325
968	9849	315
969	9857	304
970	9864	294
971	9872	284
972	9879	274
973	9886	263
974	9893	253
975	9900	243
976	9908	233
977	9915	223
978	9923	212
979	9930	202
980	9938	192
981	9945	182
982	9952	172
983	9960	161
984	9967	151
985	9974	141
986	9981	131
987	9989	121
988	9996	111
989	10003	101
990	10011	90
991	10018	80
992	10025	70
993	10033	60
994	10040	50
995	10047	40
996	10054	30
997	10061	20
998	10069	10
999	10076	0
